date,avg_sentiment_score,open,close,high,low,volume,code
2016-10-20,0.0,3317.18,3318.6,3324.9,3312.17,79238871,hs300
2016-10-21,0.2222222222222222,3315.72,3327.74,3341.56,3309.18,109785176,hs300
2016-10-24,0.0,3332.51,3367.58,3382.83,3330.97,153014345,hs300
2016-10-25,-0.125,3367.48,3367.45,3373.91,3356.59,111191693,hs300
2016-10-26,0.6,3365.2,3354.8,3367.83,3349.57,98024786,hs300
2016-10-27,1.375,3351.46,3345.7,3352.35,3335.13,77629851,hs300
2016-10-28,-0.25,3347.14,3340.13,3370.75,3337.29,93133309,hs300
2016-11-01,0.0,3338.71,3359.05,3359.39,3334.46,74938199,hs300
2016-11-02,1.2,3350.71,3333.35,3356.4,3331.38,91197104,hs300
2016-11-03,-0.14285714285714285,3326.9,3365.08,3379.99,3324.84,126223504,hs300
2016-11-04,0.25,3362.21,3354.17,3377.64,3348.43,104069655,hs300
2016-11-07,-0.25,3353.44,3356.59,3362.74,3342.31,99877988,hs300
2016-11-08,0.375,3367.7,3371.12,3383.92,3361.13,103148282,hs300
2016-11-09,-0.6363636363636364,3370.6,3353.05,3373.1,3322.08,139110059,hs300
2016-11-10,-0.3333333333333333,3374.91,3390.61,3403.02,3374.91,134705535,hs300
2016-11-11,0.5,3387.95,3417.22,3422.67,3382.89,198781496,hs300
2016-11-14,-1.6,3409.22,3430.25,3452.62,3408.14,213247105,hs300
2016-11-15,0.0,3428.87,3429.87,3434.92,3415.99,134566320,hs300
2016-11-16,0.5,3432.43,3429.59,3435.64,3419.24,129808511,hs300
2016-11-17,-0.6666666666666666,3423.47,3436.53,3437.67,3412.88,121561731,hs300
2016-11-18,-0.5714285714285714,3437.49,3417.46,3443.12,3413.27,115951205,hs300
2016-11-21,-0.75,3412.65,3441.11,3463.14,3412.08,146434529,hs300
2016-11-22,0.0,3443.22,3468.36,3469.22,3443.22,168523446,hs300
2016-11-23,0.3076923076923077,3473.9,3474.73,3492.96,3465.76,162388504,hs300
2016-11-24,-0.125,3468.81,3488.74,3508.16,3467.01,145746301,hs300
2016-11-25,0.2727272727272727,3490.04,3521.3,3521.3,3463.95,153621506,hs300
2016-11-28,0.8888888888888888,3538.68,3535.08,3553.36,3528.32,207375483,hs300
2016-11-29,-0.2,3525.9,3564.04,3583.72,3521.38,236918356,hs300
2016-12-01,0.2,3543.96,3565.04,3575.97,3543.25,180170761,hs300
2016-12-02,-0.21428571428571427,3559.77,3528.95,3562.55,3516.79,196355480,hs300
2016-12-05,-0.47058823529411764,3473.69,3469.41,3496.88,3457.34,180852355,hs300
2016-12-06,-0.16666666666666666,3466.24,3459.15,3477.59,3456.81,115529090,hs300
2016-12-07,0.8,3458.37,3475.75,3475.75,3445.76,114345103,hs300
2016-12-08,0.8,3481.81,3470.14,3484.34,3466.51,117383922,hs300
2016-12-09,-0.3125,3464.87,3493.7,3507.93,3461.76,150303308,hs300
2016-12-12,-0.75,3489.27,3409.18,3495.8,3400.79,187467751,hs300
2016-12-13,-0.75,3394.21,3405.04,3416.21,3370.6,121105097,hs300
2016-12-14,-0.38461538461538464,3399.41,3378.95,3412.28,3378.27,124007744,hs300
